No,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Latitude,Langitude
1,-0.02591,-1.57964,9.85403,-10.74646,18.47757,-23.2327,0,0
2,-0.35631,-1.43599,10.2802,13.21013,-1.29741,18.78969,0,0
3,-2.01788,0.3022,9.74869,-6.56572,-7.43212,-4.43427,0,0
4,-0.21265,-0.85181,10.59624,17.02455,5.47727,-50.14954,-6.97328,107.63848
5,-1.07457,0.10588,10.20837,-2.65951,23.93998,-57.83957,-6.97328,107.63848
6,-1.89818,0.97737,9.84445,10.4326,7.82729,76.01028,-6.97334,107.63844
7,-1.86945,-0.11917,10.37119,-12.27205,16.24995,92.21477,-6.97334,107.63844
8,-1.84071,-0.10481,8.63779,-8.91575,-11.52105,79.61137,-6.97339,107.63843
9,-2.08012,-0.28677,8.49892,-11.23517,-1.78612,17.93553,-6.97339,107.63843
10,-0.8974,0.26869,9.53322,5.64163,20.18676,18.94268,-6.97339,107.63843
11,-0.15041,-0.83743,9.7439,-17.64353,-10.72722,57.45577,-6.97339,107.63843
12,-1.76889,0.28784,8.86284,-14.95779,12.52646,-8.40168,-6.97344,107.63843
13,-2.90852,-2.92039,10.3233,41.71289,-9.23223,-16.03051,-6.97344,107.63843
14,-1.79761,-2.87251,11.05113,35.21274,16.95198,5.69758,-6.97344,107.63843
15,-2.66432,-1.42641,9.66728,-3.11675,6.36202,-2.32817,-6.97344,107.63843
16,-2.29561,-1.00024,10.39513,3.44373,16.67746,-0.06994,-6.97344,107.63843
17,-2.08971,-0.77997,9.62419,-2.78103,-7.61484,-38.73602,-6.97339,107.63845
18,-3.38736,-1.77118,10.51483,1.49062,21.07152,-43.77091,-6.97339,107.63845
19,-2.59727,-1.47908,10.72552,8.17437,1.29653,-7.54665,-6.97339,107.63845
20,-3.10484,-2.04411,8.92029,6.28246,10.97027,-21.61531,-6.97339,107.63845
21,-2.89894,-3.68175,8.18288,4.97019,19.42353,31.30216,-6.97339,107.63845
22,-3.80875,-2.69534,8.44624,12.4163,3.95167,-16.51922,-6.97339,107.63845
23,-3.00908,-3.64343,10.14613,36.49441,33.24827,-60.40292,-6.97339,107.63845
24,-2.0083,-0.54535,9.13098,-9.06787,13.13669,-61.77638,-6.97339,107.63845
25,-3.08569,-2.5038,9.66728,3.07828,4.22619,-20.21124,-6.97339,107.63845
26,-2.64516,-2.27396,9.07831,7.77745,-18.29573,12.28953,-6.97339,107.63845
27,-1.8838,-1.78075,9.9929,4.17636,25.19192,-4.00675,-6.97339,107.63845
28,-1.89339,1.23116,9.10225,11.68367,-0.35145,-33.15123,-6.97339,107.63845
29,-4.14873,-0.08087,10.84523,-28.66013,60.65295,11.13026,-6.97339,107.63845
30,-2.53503,0.39798,10.1174,16.50523,15.57851,-52.04145,-6.97339,107.63845
31,-2.52545,-0.46873,7.31618,10.28047,-3.83103,-34.58502,-6.97339,107.63845
32,-4.80473,-2.65224,9.77742,15.80407,-12.16189,25.22864,-6.97339,107.63845
33,-3.76566,-1.57484,5.99458,-2.75131,-25.43672,24.06937,-6.97335,107.63847
34,-3.59805,0.90076,10.88354,5.06199,15.82243,-8.95072,-6.97335,107.63847
35,-2.88937,0.81935,6.6937,15.04084,18.6909,9.17715,-6.97335,107.63847
36,-2.81276,-0.15749,7.68489,17.8175,17.40922,-42.24532,-6.97335,107.63847
37,-1.96521,-0.08566,8.80537,11.71427,-11.52105,-23.84293,-6.97335,107.63847
38,-4.06732,0.76668,9.37999,7.22842,-53.72703,27.30415,-6.97335,107.63847
39,-2.79361,1.77704,11.76939,7.71626,-14.48131,3.16484,-6.97332,107.6385
40,-1.75452,3.30933,9.9115,-25.79167,13.19789,25.47344,-6.97332,107.6385
41,-1.15118,3.44339,9.11183,10.03568,10.23763,0.4485,-6.97332,107.6385
42,-1.75931,2.75865,8.07275,3.16921,10.97027,-0.52806,-6.97332,107.6385
43,-0.38504,-1.14389,10.31372,-26.70702,-7.82816,22.45198,-6.97332,107.63856
44,-2.08012,1.80576,10.50047,43.48328,-1.5116,-21.31019,-6.97332,107.63856
45,-0.94528,1.88239,9.37999,-33.4817,-5.35662,24.8632,-6.97332,107.63856
46,-2.57812,1.44664,10.47174,-0.70641,5.56906,8.87203,-6.97332,107.63856
