No,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Latitude,Langitude
1,-5.18781,3.13216,8.02486,-5.37585,-8.80472,-7.57725,0,0
2,-5.02979,2.54796,8.61383,-12.51684,-8.25568,1.48625,0,0
3,-0.44728,0.75232,10.10782,-0.737,8.92536,4.50771,-6.97463,107.63049
4,-0.6915,2.91188,9.91629,24.31853,31.66148,-7.08941,-6.97468,107.63045
5,0.60138,0.49374,9.53322,-10.99038,15.94483,-10.14059,-6.97468,107.63045
6,0.74503,-0.1096,11.49167,48.97628,-27.90914,-20.12032,-6.97468,107.63045
7,0.06508,2.38516,8.86284,-2.1402,17.59282,-13.95588,-6.97468,107.63045
8,0.07465,2.5336,9.71516,30.36057,-1.99944,-8.5844,-6.97468,107.63045
9,2.25816,4.51601,8.82452,44.42923,-7.21793,-32.11347,-6.97468,107.63045
10,0.65405,5.7131,9.56673,-4.88714,8.37633,-19.6622,-6.97468,107.63045
11,0.18958,4.63571,9.3752,32.40548,-15.82418,-12.1243,-6.97468,107.63045
12,0.11296,6.4984,7.58434,4.93959,2.51701,7.10165,-6.97468,107.63045
13,0.53912,5.13849,7.44547,7.38054,-3.28111,-11.36194,-6.97468,107.63045
14,-1.0219,4.91344,7.56039,-9.03727,-10.08639,19.94983,-6.97468,107.63045
15,-0.40419,2.66768,9.98811,-0.46249,24.39809,18.14885,-6.97468,107.63045
16,0.11775,3.08905,10.036,-19.96295,5.81298,-4.95271,-6.97465,107.63041
17,1.61652,1.07793,10.49568,6.7397,33.46159,33.7431,-6.97465,107.63041
18,1.13768,1.56155,9.10225,8.63248,-3.70863,9.20775,-6.97465,107.63041
19,-0.21744,2.27982,7.53645,17.11634,9.6274,5.60666,-6.97465,107.63041
20,-1.11766,0.24475,10.42386,-17.61293,-15.30487,10.70274,-6.97465,107.63041
21,1.79369,-0.64111,11.51561,17.45206,-18.32633,-34.92073,-6.97461,107.63039
22,1.89903,-0.18622,12.66483,12.81322,26.74811,-5.19663,-6.97461,107.63039
23,0.47209,1.15454,13.55547,-8.18311,-25.92543,-25.61332,-6.97461,107.63039
24,1.93735,0.85287,10.5723,29.87273,-11.52105,-22.77546,-6.97461,107.63039
25,0.82164,0.54163,9.02086,-6.99324,-19.73039,-7.27213,-6.97456,107.63038
26,0.80249,0.78105,9.13577,-5.19226,-24.27744,12.99157,-6.97456,107.63038
27,0.52477,-1.44556,11.4007,-1.98808,-5.90565,16.01302,-6.97456,107.63038
28,-0.09294,0.05321,7.96262,14.91844,-7.64544,6.73533,-6.97456,107.63038
29,1.47287,-0.82307,9.69122,13.27046,-21.6223,5.36186,-6.97456,107.63038
30,0.2614,1.5424,10.42386,-40.89808,34.25542,53.94647,-6.97452,107.63036
31,-0.73459,-0.16228,10.54356,-3.14735,-4.71578,15.18859,-6.97452,107.63036
32,1.87988,0.58951,8.70961,1.91814,21.68175,15.95183,-6.97452,107.63036
33,1.02275,0.0963,8.20204,14.03369,10.72635,4.65983,-6.97452,107.63036
34,0.15605,-0.15749,8.16852,20.65624,-1.87792,-18.53353,-6.97452,107.63036
35,0.83122,-0.28198,10.67285,-7.51168,18.08066,-7.30273,-6.97452,107.63036
36,0.27576,-1.28276,11.35759,44.82615,-6.54649,-45.96881,-6.97447,107.63034
37,1.48723,0.5081,11.94656,3.44373,2.27309,-20.76115,-6.97447,107.63034
38,2.89023,0.23996,10.75905,11.07343,6.72834,1.08933,-6.97447,107.63034
39,1.27654,1.12102,9.75827,1.3385,-12.6812,-2.84748,-6.97447,107.63034
40,1.74101,0.64218,8.36963,-2.35439,-8.65259,-8.85892,-6.97447,107.63034
